date,cases,new_cases,cases_avg7,cases_avg7_pc,cases_avg14,cases_avg14_pc,deaths,new_deaths,deaths_avg7,deaths_avg7_pc,deaths_avg14,deaths_avg14_pc,tot_pop
2020-05-19,1532552,20882,22758.714285714286,0.06902321960890334,23190.071428571428,0.07033145075181929,91790,1520,1359.7142857142858,0.004123776790287814,1359.7142857142858,0.004123776790287814,329725481
2020-05-20,1555550,22998,23027.714285714286,0.06983904979340765,23085.571428571428,0.07001452043850814,93272,1482,1319,0.004000297447439314,1319,0.004000297447439314,329725481
2020-05-21,1581235,25685,22859.285714285714,0.06932823524878175,22890.85714285714,0.06942398589709584,94582,1310,1258.142857142857,0.003815728324444713,1258.142857142857,0.003815728324444713,329725481
2020-05-22,1604917,23682,22511,0.06827194529136194,22616.714285714286,0.06859255832191595,95870,1288,1215.2857142857142,0.003685750068814713,1215.2857142857142,0.003685750068814713,329725481
2020-05-23,1627115,22198,22309.285714285714,0.06766018096819675,22427.285714285714,0.06801805443203134,96919,1049,1190.142857142857,0.0036094961588451126,1190.142857142857,0.0036094961588451126,329725481
2020-05-24,1647056,19941,22449.85714285714,0.06808650964666313,22402.214285714286,0.06794201715248778,97539,620,1158.2857142857142,0.003512878988826812,1158.2857142857142,0.003512878988826812,329725481
2020-05-25,1666085,19029,22059.285714285714,0.06690197447702173,22507.14285714286,0.06826024724835524,98047,508,1111,0.003369469646781712,1111,0.003369469646781712,329725481
2020-05-26,1684913,18828,21765.85714285714,0.06601205668680833,22262.285714285714,0.06751763814785583,98794,747,1000.5714285714286,0.0030345590081084107,1000.5714285714286,0.0030345590081084107,329725481
2020-05-27,1703583,18670,21147.571428571428,0.06413690371891952,22087.64285714286,0.06698797675616358,100279,1485,1001,0.0030358587906647106,1001,0.0030358587906647106,329725481
2020-05-28,1726005,22422,20681.428571428572,0.06272317355851723,21770.35714285714,0.06602570440364947,101477,1198,985,0.0029873335752295103,985,0.0029873335752295103,329725481
2020-05-29,1750392,24387,20782.14285714286,0.06302862245924773,21646.571428571428,0.06565028387530482,102666,1189,970.8571428571429,0.0029444407508716105,970.8571428571429,0.0029444407508716105,329725481
2020-05-30,1773717,23325,20943.14285714286,0.06351690743956442,21626.214285714286,0.06558854420388058,103628,962,958.4285714285714,0.00290674705673891,958.4285714285714,0.00290674705673891,329725481
2020-05-31,1794290,20573,21033.428571428572,0.06379072829809163,21741.64285714286,0.06593861897237739,104229,601,955.7142857142857,0.00289851510054901,955.7142857142857,0.00289851510054901,329725481
2020-06-01,1816090,21800,21429.285714285714,0.06499129411926073,21744.285714285714,0.06594663429814122,104963,734,988,0.0029964320531236104,988,0.0029964320531236104,329725481
2020-06-02,1836816,20726,21700.428571428572,0.06581362321654653,21733.14285714286,0.06591283995167745,106043,1080,1035.5714285714287,0.0031407079168729113,1035.5714285714287,0.0031407079168729113,329725481
2020-06-03,1856713,19897,21875.714285714286,0.06634523428207324,21511.64285714286,0.06524106900049638,107030,987,964.4285714285714,0.0029249440125271105,964.4285714285714,0.0029249440125271105,329725481
2020-06-04,1877840,21127,21690.714285714286,0.06578416147860373,21186.071428571428,0.06425366751856047,108038,1008,937.2857142857143,0.00284262445062811,937.2857142857143,0.00284262445062811,329725481
2020-06-05,1906437,28597,22292.14285714286,0.06760818966594474,21537.14285714286,0.06531840606259623,109149,1111,926.1428571428571,0.0028088301041643096,926.1428571428571,0.0028088301041643096,329725481
2020-06-06,1928658,22221,22134.428571428572,0.06712986968522634,21538.785714285714,0.06532338856239538,109876,727,892.5714285714286,0.0027070138039208096,892.5714285714286,0.0027070138039208096,329725481
2020-06-07,1947203,18545,21844.714285714286,0.06625121667716753,21439.071428571428,0.06502097248762959,110266,390,862.4285714285714,0.002615595764127709,862.4285714285714,0.002615595764127709,329725481
2020-06-08,1965347,18144,21322.428571428572,0.06466721500188993,21375.85714285714,0.06482925456057533,110988,722,860.7142857142857,0.002610396633902509,860.7142857142857,0.002610396633902509,329725481
2020-06-09,1984010,18663,21027.714285714286,0.06377339786400762,21364.071428571428,0.06479351054027707,112018,1030,853.5714285714286,0.002588733591297509,853.5714285714286,0.002588733591297509,329725481
2020-06-10,2006718,22708,21429.285714285714,0.06499129411926073,21652.5,0.06566826420066699,112946,928,845.1428571428571,0.0025631712010236087,845.1428571428571,0.0025631712010236087,329725481
2020-06-11,2029894,23176,21722,0.06587904560521363,21706.35714285714,0.06583160354190867,113822,876,826.2857142857143,0.002505980768546409,826.2857142857143,0.002505980768546409,329725481
2020-06-12,2055202,25308,21252.14285714286,0.06445405066265673,21772.14285714286,0.06603112016430072,114599,777,778.5714285714286,0.0023612716439450083,778.5714285714286,0.0023612716439450083,329725481
2020-06-13,2080381,25179,21674.714285714286,0.06573563626316853,21904.571428571428,0.06643275297419743,115291,692,773.5714285714286,0.002346107514121508,773.5714285714286,0.002346107514121508,329725481
2020-06-14,2099389,19008,21740.85714285714,0.06593623603769083,21792.785714285714,0.06609372635742918,115607,316,763,0.0023140462110661083,763,0.0023140462110661083,329725481
2020-06-15,2119426,20037,22011.285714285714,0.06675639883071613,21666.85714285714,0.06571180691630303,116055,448,723.8571428571429,0.0021953327375907076,723.8571428571429,0.0021953327375907076,329725481
2020-06-16,2144250,24824,22891.428571428572,0.06942571894050426,21959.571428571428,0.06659955840225593,116824,769,686.5714285714286,0.0020822516551926074,686.5714285714286,0.0020822516551926074,329725481
2020-06-17,2169851,25601,23304.714285714286,0.07067914258562955,22367,0.06783521835244513,117577,753,661.5714285714286,0.002006431006075107,661.5714285714286,0.002006431006075107,329725481
2020-06-18,2197796,27945,23986,0.07274536358929445,22854,0.06931220459725404,118303,726,640.1428571428571,0.0019414418782601067,640.1428571428571,0.0019414418782601067,329725481
2020-06-19,2228541,30745,24762.714285714286,0.07510100284216216,23007.428571428572,0.06977752675240945,119010,707,630.1428571428571,0.0019111136186131064,630.1428571428571,0.0019111136186131064,329725481
2020-06-20,2260274,31733,25699,0.07794059446682557,23686.85714285714,0.07183811536499704,119556,546,609.2857142857143,0.0018478575342065066,609.2857142857143,0.0018478575342065066,329725481
2020-06-21,2286591,26317,26743.14285714286,0.08110729803482448,24242,0.07352176703625767,119811,255,600.5714285714286,0.0018214286222284063,600.5714285714286,0.0018214286222284063,329725481
2020-06-22,2317018,30427,28227.428571428572,0.08560887828814351,25119.35714285714,0.07618263855942982,120171,360,588,0.0017833016672436062,588,0.0017833016672436062,329725481
2020-06-23,2351952,34934,29671.714285714286,0.08998914550287451,26281.571428571428,0.07970743222168937,121004,833,597.1428571428571,0.0018110303617780061,597.1428571428571,0.0018110303617780061,329725481
2020-06-24,2388798,36846,31278.14285714286,0.09486116378473904,27291.428571428572,0.08277015318518428,121771,767,599.1428571428571,0.0018170960137074063,599.1428571428571,0.0018170960137074063,329725481
2020-06-25,2429899,41101,33157.57142857143,0.10056114355496665,28571.785714285714,0.08665325357213055,124235,2464,847.4285714285713,0.0025701033746572087,847.4285714285713,0.0025701033746572087,329725481
2020-06-26,2475379,45480,35262.57142857143,0.10694524221066017,30012.64285714286,0.09102312252641118,124868,633,836.8571428571429,0.0025380420716018086,836.8571428571429,0.0025380420716018086,329725481
