date,measure,value
2020-05-26,cases_avg7_pc,0.06601205668680833
2020-05-26,deaths,98794
2020-05-26,deaths_avg7_pc,0.00303455900810841
2020-05-27,cases,1703583
2020-05-27,cases_avg7_pc,0.06413690371891952
2020-05-27,deaths,100279
2020-05-27,deaths_avg7_pc,0.00303585879066471
2020-05-28,cases,1726005
2020-05-28,cases_avg7_pc,0.06272317355851723
2020-05-28,deaths,101477
2020-05-28,deaths_avg7_pc,0.00298733357522951
2020-05-29,cases,1750392
2020-05-29,cases_avg7_pc,0.06302862245924773
2020-05-29,deaths,102666
2020-05-29,deaths_avg7_pc,0.00294444075087161
2020-05-30,cases,1773717
2020-05-30,cases_avg7_pc,0.06351690743956442
2020-05-30,deaths,103628
2020-05-30,deaths_avg7_pc,0.00290674705673891
2020-05-31,cases,1794290
2020-05-31,cases_avg7_pc,0.06379072829809163
2020-05-31,deaths,104229
2020-05-31,deaths_avg7_pc,0.00289851510054901
2020-06-01,cases,1816090
2020-06-01,cases_avg7_pc,0.06499129411926073
2020-06-01,deaths,104963
2020-06-01,deaths_avg7_pc,0.00299643205312361
2020-06-02,cases,1836816
2020-06-02,cases_avg7_pc,0.06581362321654653
2020-06-02,deaths,106043
2020-06-02,deaths_avg7_pc,0.00314070791687291
2020-06-03,cases,1856713
2020-06-03,cases_avg7_pc,0.06634523428207324
2020-06-03,deaths,107030
2020-06-03,deaths_avg7_pc,0.00292494401252711
2020-06-04,cases,1877840
2020-06-04,cases_avg7_pc,0.06578416147860373
2020-06-04,deaths,108038
2020-06-04,deaths_avg7_pc,0.00284262445062811
2020-06-05,cases,1906437
2020-06-05,cases_avg7_pc,0.06760818966594474
2020-06-05,deaths,109149
2020-06-05,deaths_avg7_pc,0.0028088301041643
2020-06-06,cases,1928658
2020-06-06,cases_avg7_pc,0.06712986968522634
2020-06-06,deaths,109876
2020-06-06,deaths_avg7_pc,0.0027070138039208
2020-06-07,cases,1947203
2020-06-07,cases_avg7_pc,0.06625121667716753
2020-06-07,deaths,110266
2020-06-07,deaths_avg7_pc,0.0026155957641277
2020-06-08,cases,1965347
2020-06-08,cases_avg7_pc,0.06466721500188993
2020-06-08,deaths,110988
2020-06-08,deaths_avg7_pc,0.0026103966339025
2020-06-09,cases,1984010
2020-06-09,cases_avg7_pc,0.06377339786400762
2020-06-09,deaths,112018
2020-06-09,deaths_avg7_pc,0.0025887335912975
2020-06-10,cases,2006718
2020-06-10,cases_avg7_pc,0.06499129411926073
2020-06-10,deaths,112946
2020-06-10,deaths_avg7_pc,0.0025631712010236
2020-06-11,cases,2029894
2020-06-11,cases_avg7_pc,0.06587904560521363
2020-06-11,deaths,113822
2020-06-11,deaths_avg7_pc,0.0025059807685464
2020-06-12,cases,2055202
2020-06-12,cases_avg7_pc,0.06445405066265673
2020-06-12,deaths,114599
2020-06-12,deaths_avg7_pc,0.002361271643945
2020-06-13,cases,2080381
2020-06-13,cases_avg7_pc,0.06573563626316853
2020-06-13,deaths,115291
